#X,rev_axeAmortisseur_supportPrincipal->RZ_Acceleration(rel)
#Time(sec),Angular Acceleration(degrees/sec^2)_Real
0.000000E+00,-0.053945
1.000000E-02,-0.055083
2.000000E-02,-0.056215
3.000000E-02,-0.057343
4.000000E-02,-0.058466
5.000000E-02,-0.059585
6.000000E-02,-0.060699
7.000000E-02,-0.061808
8.000000E-02,-0.062913
9.000000E-02,-0.064014
1.000000E-01,-0.065110
1.100000E-01,-0.066202
1.200000E-01,-0.067290
1.300000E-01,-0.068373
1.400000E-01,-0.069452
1.500000E-01,-0.070526
1.600000E-01,-0.071596
1.700000E-01,-0.072663
1.800000E-01,-0.073724
1.900000E-01,-0.074782
2.000000E-01,-0.075836
2.100000E-01,-0.076885
2.200000E-01,-0.077930
2.300000E-01,-0.078972
2.400000E-01,-0.080009
2.500000E-01,-0.081042
2.600000E-01,-0.082071
2.700000E-01,-0.083096
2.800000E-01,-0.084118
2.900000E-01,-0.085135
3.000000E-01,-0.086148
3.100000E-01,-0.087158
3.200000E-01,-0.088163
3.300000E-01,-0.089165
3.400000E-01,-0.090163
3.500000E-01,-0.091157
3.600000E-01,-0.092148
3.700000E-01,-0.093134
3.800000E-01,-0.094117
3.900000E-01,-0.095096
4.000000E-01,-0.096072
4.100000E-01,-0.097044
4.200000E-01,-0.098012
4.300000E-01,-0.098977
4.400000E-01,-0.099937
4.500000E-01,-0.100895
4.600000E-01,-0.101849
4.700000E-01,-0.102799
4.800000E-01,-0.103746
4.900000E-01,-0.104689
5.000000E-01,-0.105628
5.100000E-01,-0.106565
5.200000E-01,-0.107497
5.300000E-01,-0.108427
5.400000E-01,-0.109353
5.500000E-01,-0.110275
5.600000E-01,-0.111194
5.700000E-01,-0.112110
5.800000E-01,-0.113022
5.900000E-01,-0.113932
6.000000E-01,-0.114837
6.100000E-01,-0.115740
6.200000E-01,-0.116639
6.300000E-01,-0.117535
6.400000E-01,-0.118427
6.500000E-01,-0.119317
6.600000E-01,-0.120203
6.700000E-01,-0.121086
6.800000E-01,-0.121966
6.900000E-01,-0.122843
7.000000E-01,-0.123716
7.100000E-01,-0.124586
7.200000E-01,-0.125454
7.300000E-01,-0.126318
7.400000E-01,-0.127179
7.500000E-01,-0.128037
7.600000E-01,-0.128892
7.700000E-01,-0.129743
7.800000E-01,-0.130592
7.900000E-01,-0.131438
8.000000E-01,-0.132281
8.100000E-01,-0.133121
8.200000E-01,-0.133957
8.300000E-01,-0.134791
8.400000E-01,-0.135622
8.500000E-01,-0.136450
8.600000E-01,-0.137275
8.700000E-01,-0.138097
8.800000E-01,-0.138916
