#X,rev_Amortisseur_pivotAF->RZ_Displacement(rel)
#Time(sec),Angle(degrees)_Real
0.000000E+00,0.000000E+00
1.000000E-02,-2.872343E-02
2.000000E-02,-5.748275E-02
3.000000E-02,-8.627844E-02
4.000000E-02,-1.151068E-01
5.000000E-02,-1.439680E-01
6.000000E-02,-1.728618E-01
7.000000E-02,-2.017886E-01
8.000000E-02,-2.307480E-01
9.000000E-02,-2.597403E-01
1.000000E-01,-2.887654E-01
1.100000E-01,-3.178233E-01
1.200000E-01,-3.469142E-01
1.300000E-01,-3.760379E-01
1.400000E-01,-4.051944E-01
1.500000E-01,-4.343839E-01
1.600000E-01,-4.636064E-01
1.700000E-01,-4.928617E-01
1.800000E-01,-5.221500E-01
1.900000E-01,-5.514713E-01
2.000000E-01,-5.808255E-01
2.100000E-01,-6.102128E-01
2.200000E-01,-6.396330E-01
2.300000E-01,-6.690864E-01
2.400000E-01,-6.985727E-01
2.500000E-01,-7.280921E-01
2.600000E-01,-7.576446E-01
2.700000E-01,-7.872303E-01
2.800000E-01,-8.168490E-01
2.900000E-01,-8.465009E-01
3.000000E-01,-8.761859E-01
3.100000E-01,-9.059041E-01
3.200000E-01,-9.356554E-01
3.300000E-01,-9.654401E-01
3.400000E-01,-9.952579E-01
3.500000E-01,-1.025109E+00
3.600000E-01,-1.054993E+00
3.700000E-01,-1.084911E+00
3.800000E-01,-1.114861E+00
3.900000E-01,-1.144846E+00
4.000000E-01,-1.174863E+00
4.100000E-01,-1.204914E+00
4.200000E-01,-1.234998E+00
4.300000E-01,-1.265115E+00
4.400000E-01,-1.295266E+00
4.500000E-01,-1.325451E+00
4.600000E-01,-1.355668E+00
4.700000E-01,-1.385919E+00
4.800000E-01,-1.416204E+00
4.900000E-01,-1.446522E+00
5.000000E-01,-1.476873E+00
5.100000E-01,-1.507258E+00
5.200000E-01,-1.537677E+00
5.300000E-01,-1.568129E+00
5.400000E-01,-1.598615E+00
5.500000E-01,-1.629134E+00
5.600000E-01,-1.659687E+00
5.700000E-01,-1.690273E+00
5.800000E-01,-1.720893E+00
5.900000E-01,-1.751547E+00
6.000000E-01,-1.782234E+00
6.100000E-01,-1.812955E+00
6.200000E-01,-1.843710E+00
6.300000E-01,-1.874498E+00
6.400000E-01,-1.905320E+00
6.500000E-01,-1.936176E+00
6.600000E-01,-1.967066E+00
6.700000E-01,-1.997989E+00
6.800000E-01,-2.028946E+00
6.900000E-01,-2.059938E+00
7.000000E-01,-2.090962E+00
7.100000E-01,-2.122021E+00
7.200000E-01,-2.153113E+00
7.300000E-01,-2.184240E+00
7.400000E-01,-2.215400E+00
7.500000E-01,-2.246594E+00
7.600000E-01,-2.277822E+00
7.700000E-01,-2.309084E+00
7.800000E-01,-2.340381E+00
7.900000E-01,-2.371711E+00
8.000000E-01,-2.403075E+00
8.100000E-01,-2.434473E+00
8.200000E-01,-2.465904E+00
8.300000E-01,-2.497371E+00
8.400000E-01,-2.528871E+00
8.500000E-01,-2.560405E+00
8.600000E-01,-2.591974E+00
8.700000E-01,-2.623576E+00
8.800000E-01,-2.655213E+00
8.900000E-01,-2.686883E+00
9.000000E-01,-2.718589E+00
9.100000E-01,-2.750328E+00
9.200000E-01,-2.782101E+00
9.300000E-01,-2.813909E+00
9.400000E-01,-2.845751E+00
9.500000E-01,-2.877627E+00
9.600000E-01,-2.909537E+00
9.700000E-01,-2.941482E+00
9.800000E-01,-2.973461E+00
9.900000E-01,-3.005474E+00
1.000000E+00,-3.037522E+00
1.010000E+00,-3.069604E+00
1.020000E+00,-3.101720E+00
1.030000E+00,-3.133871E+00
1.040000E+00,-3.166056E+00
1.050000E+00,-3.198276E+00
1.060000E+00,-3.230530E+00
1.070000E+00,-3.262819E+00
1.080000E+00,-3.295142E+00
1.090000E+00,-3.327499E+00
1.100000E+00,-3.359891E+00
1.110000E+00,-3.392318E+00
1.120000E+00,-3.424779E+00
1.130000E+00,-3.457275E+00
1.140000E+00,-3.489805E+00
1.150000E+00,-3.522370E+00
1.160000E+00,-3.554969E+00
1.170000E+00,-3.587603E+00
1.180000E+00,-3.620272E+00
1.190000E+00,-3.652976E+00
1.200000E+00,-3.685714E+00
1.210000E+00,-3.718487E+00
1.220000E+00,-3.751295E+00
1.230000E+00,-3.784137E+00
1.240000E+00,-3.817014E+00
1.250000E+00,-3.849926E+00
1.260000E+00,-3.882873E+00
1.270000E+00,-3.915854E+00
1.280000E+00,-3.948870E+00
1.290000E+00,-3.981922E+00
1.300000E+00,-4.015007E+00
1.310000E+00,-4.048128E+00
1.320000E+00,-4.081284E+00
1.330000E+00,-4.114474E+00
1.340000E+00,-4.147700E+00
1.350000E+00,-4.180961E+00
1.360000E+00,-4.214256E+00
1.370000E+00,-4.247587E+00
1.380000E+00,-4.280952E+00
1.390000E+00,-4.314352E+00
1.400000E+00,-4.347787E+00
1.410000E+00,-4.381257E+00
1.420000E+00,-4.414763E+00
1.430000E+00,-4.448304E+00
1.440000E+00,-4.481879E+00
1.450000E+00,-4.515490E+00
1.460000E+00,-4.549136E+00
1.470000E+00,-4.582817E+00
1.480000E+00,-4.616533E+00
1.490000E+00,-4.650285E+00
1.500000E+00,-4.684071E+00
1.510000E+00,-4.717893E+00
1.520000E+00,-4.751750E+00
1.530000E+00,-4.785642E+00
1.540000E+00,-4.819569E+00
1.550000E+00,-4.853532E+00
1.560000E+00,-4.887530E+00
1.570000E+00,-4.921563E+00
1.580000E+00,-4.955631E+00
1.590000E+00,-4.989735E+00
1.600000E+00,-5.023874E+00
1.610000E+00,-5.058049E+00
1.620000E+00,-5.092259E+00
1.630000E+00,-5.126504E+00
1.640000E+00,-5.160785E+00
1.650000E+00,-5.195101E+00
1.660000E+00,-5.229453E+00
1.670000E+00,-5.263841E+00
1.680000E+00,-5.298262E+00
1.690000E+00,-5.332721E+00
1.700000E+00,-5.367214E+00
1.710000E+00,-5.401743E+00
1.720000E+00,-5.436308E+00
1.730000E+00,-5.470907E+00
1.740000E+00,-5.505543E+00
1.750000E+00,-5.540215E+00
1.760000E+00,-5.574921E+00
1.770000E+00,-5.609664E+00
1.780000E+00,-5.644441E+00
1.790000E+00,-5.679255E+00
1.800000E+00,-5.714104E+00
1.810000E+00,-5.748989E+00
1.820000E+00,-5.783910E+00
1.830000E+00,-5.818866E+00
1.840000E+00,-5.853859E+00
1.850000E+00,-5.888886E+00
1.860000E+00,-5.923950E+00
1.870000E+00,-5.959049E+00
1.880000E+00,-5.994185E+00
1.890000E+00,-6.029355E+00
1.900000E+00,-6.064561E+00
1.910000E+00,-6.099803E+00
1.920000E+00,-6.135082E+00
1.930000E+00,-6.170395E+00
1.940000E+00,-6.205745E+00
1.950000E+00,-6.241131E+00
1.960000E+00,-6.276553E+00
1.970000E+00,-6.312009E+00
1.980000E+00,-6.347504E+00
1.990000E+00,-6.383033E+00
2.000000E+00,-6.418599E+00
2.010000E+00,-6.454200E+00
2.020000E+00,-6.489838E+00
2.030000E+00,-6.525510E+00
2.040000E+00,-6.561219E+00
2.050000E+00,-6.596964E+00
2.060000E+00,-6.632746E+00
2.070000E+00,-6.668563E+00
2.080000E+00,-6.704415E+00
2.090000E+00,-6.740306E+00
2.100000E+00,-6.776230E+00
2.110000E+00,-6.812192E+00
2.120000E+00,-6.848190E+00
2.130000E+00,-6.884223E+00
2.140000E+00,-6.920293E+00
2.150000E+00,-6.956399E+00
2.160000E+00,-6.992541E+00
2.170000E+00,-7.028719E+00
2.180000E+00,-7.064934E+00
2.190000E+00,-7.101184E+00
2.200000E+00,-7.137470E+00
2.210000E+00,-7.173794E+00
2.220000E+00,-7.210153E+00
2.230000E+00,-7.246547E+00
2.240000E+00,-7.282979E+00
2.250000E+00,-7.319448E+00
2.260000E+00,-7.355952E+00
2.270000E+00,-7.392493E+00
2.280000E+00,-7.429069E+00
2.290000E+00,-7.465682E+00
2.300000E+00,-7.502331E+00
2.310000E+00,-7.539018E+00
2.320000E+00,-7.575739E+00
2.330000E+00,-7.612497E+00
2.340000E+00,-7.649292E+00
2.350000E+00,-7.686123E+00
2.360000E+00,-7.722991E+00
2.370000E+00,-7.759894E+00
2.380000E+00,-7.796835E+00
2.390000E+00,-7.833812E+00
2.400000E+00,-7.870824E+00
2.410000E+00,-7.907875E+00
2.420000E+00,-7.944961E+00
2.430000E+00,-7.982083E+00
2.440000E+00,-8.019242E+00
2.450000E+00,-8.056437E+00
2.460000E+00,-8.093670E+00
2.470000E+00,-8.130938E+00
2.480000E+00,-8.168243E+00
2.490000E+00,-8.205584E+00
2.500000E+00,-8.242963E+00
2.510000E+00,-8.280377E+00
2.520000E+00,-8.317827E+00
2.530000E+00,-8.355315E+00
2.540000E+00,-8.392840E+00
2.550000E+00,-8.430401E+00
2.560000E+00,-8.467999E+00
2.570000E+00,-8.505632E+00
2.580000E+00,-8.543303E+00
2.590000E+00,-8.581010E+00
2.600000E+00,-8.618754E+00
2.610000E+00,-8.656536E+00
2.620000E+00,-8.694353E+00
2.630000E+00,-8.732205E+00
2.640000E+00,-8.770097E+00
2.650000E+00,-8.808024E+00
2.660000E+00,-8.845987E+00
2.670000E+00,-8.883988E+00
2.680000E+00,-8.922024E+00
2.690000E+00,-8.960099E+00
2.700000E+00,-8.998210E+00
2.710000E+00,-9.036356E+00
2.720000E+00,-9.074541E+00
2.730000E+00,-9.112762E+00
2.740000E+00,-9.151020E+00
2.750000E+00,-9.189315E+00
2.760000E+00,-9.227645E+00
2.770000E+00,-9.266013E+00
2.780000E+00,-9.304418E+00
2.790000E+00,-9.342860E+00
2.800000E+00,-9.381338E+00
2.810000E+00,-9.419853E+00
2.820000E+00,-9.458405E+00
2.830000E+00,-9.496993E+00
2.840000E+00,-9.535619E+00
2.850000E+00,-9.574280E+00
2.860000E+00,-9.612980E+00
2.870000E+00,-9.651715E+00
