#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
0.000000E+00,-5.078636
1.000000E-02,-5.079180
2.000000E-02,-5.079736
3.000000E-02,-5.080304
4.000000E-02,-5.080883
5.000000E-02,-5.081473
6.000000E-02,-5.082075
7.000000E-02,-5.082687
8.000000E-02,-5.083311
9.000000E-02,-5.083945
1.000000E-01,-5.084591
1.100000E-01,-5.085248
1.200000E-01,-5.085915
1.300000E-01,-5.086594
1.400000E-01,-5.087283
1.500000E-01,-5.087982
1.600000E-01,-5.088693
1.700000E-01,-5.089414
1.800000E-01,-5.090146
1.900000E-01,-5.090889
2.000000E-01,-5.091642
2.100000E-01,-5.092406
2.200000E-01,-5.093180
2.300000E-01,-5.093964
2.400000E-01,-5.094759
2.500000E-01,-5.095564
2.600000E-01,-5.096380
2.700000E-01,-5.097206
2.800000E-01,-5.098042
2.900000E-01,-5.098888
3.000000E-01,-5.099745
3.100000E-01,-5.100611
3.200000E-01,-5.101488
3.300000E-01,-5.102374
3.400000E-01,-5.103271
3.500000E-01,-5.104178
3.600000E-01,-5.105094
3.700000E-01,-5.106021
3.800000E-01,-5.106957
3.900000E-01,-5.107903
4.000000E-01,-5.108859
4.100000E-01,-5.109824
4.200000E-01,-5.110800
4.300000E-01,-5.111785
4.400000E-01,-5.112779
4.500000E-01,-5.113783
4.600000E-01,-5.114797
4.700000E-01,-5.115820
4.800000E-01,-5.116853
4.900000E-01,-5.117895
5.000000E-01,-5.118947
5.100000E-01,-5.120008
5.200000E-01,-5.121078
5.300000E-01,-5.122158
5.400000E-01,-5.123247
5.500000E-01,-5.124345
5.600000E-01,-5.125452
5.700000E-01,-5.126569
5.800000E-01,-5.127694
5.900000E-01,-5.128829
6.000000E-01,-5.129973
6.100000E-01,-5.131126
6.200000E-01,-5.132288
6.300000E-01,-5.133459
6.400000E-01,-5.134638
6.500000E-01,-5.135827
6.600000E-01,-5.137025
6.700000E-01,-5.138231
6.800000E-01,-5.139446
6.900000E-01,-5.140670
7.000000E-01,-5.141903
7.100000E-01,-5.143145
7.200000E-01,-5.144395
7.300000E-01,-5.145654
7.400000E-01,-5.146921
7.500000E-01,-5.148197
7.600000E-01,-5.149482
7.700000E-01,-5.150775
7.800000E-01,-5.152077
7.900000E-01,-5.153387
8.000000E-01,-5.154706
8.100000E-01,-5.156033
8.200000E-01,-5.157368
8.300000E-01,-5.158712
8.400000E-01,-5.160064
8.500000E-01,-5.161424
8.600000E-01,-5.162793
